id	name	icon	icon灰	兵种	级别	前置ID	buttonname	iconname	lvname	swname	介绍
30000	青铜铸造术	T_Icon_Gongfang_qingtongzhuzaoshu.img	T_Icon_Gongfang_qingtongzhuzaoshu_D.img	0	0	0	Bb_Sign_1	Bb_1_1	Bb_Mark1_1	sw284_1	上古流传下来的金属冶炼技术，铸造的戟刃锋利耐用。
30001	韧性铸铁法	T_Icon_Gongfang_renxingzhutiefa.img	T_Icon_Gongfang_renxingzhutiefa_D.img	0	1	30000	Bb_Sign_3	Bb_2_2	Bb_Mark2_2	sw284_3	通过脱碳、热处理等办法，铸成的铁器锋锐冰冷，看上去让人不寒而栗。
30002	坩埚炼铁法	T_Icon_Gongfang_qianguoliantiefa.img	T_Icon_Gongfang_qianguoliantiefa_D.img	0	2	30001	Bb_Sign_6	Bb_3_2	Bb_Mark3_2	sw284_15	特制坩埚成为了冶炼炉的重要组成部分，能够让铁与其他金属液体完美的融合在一起，制作出特色的合金！
30003	炒钢法	T_Icon_Gongfang_chaogangfa.img	T_Icon_Gongfang_chaogangfa_D.img	0	3	30002	Bb_Sign_10	Bb_4_3	Bb_Mark4_3	sw284_9	像炒菜一样不断的搅拌液态的生铁，通过秘术处理后得到黑色坚硬的钢铁。因为质量好，产量高，因此在军中得到广泛的应用。
30004	百炼钢秘术	T_Icon_Gongfang_bailiangangmishu.img	T_Icon_Gongfang_bailiangangmishu_D.img	0	4	30003	Bb_Sign_15	Bb_5_3	Bb_Mark5_3		以炒钢法得到的铁块，烧红后再捶打，为一炼。百炼，就是对折一百次！以此法练出的钢，即为百炼钢！百炼钢细密而有弹性，乃是铸造兵甲的上好材料！
30005	黑山铁甲	T_Icon_Gongfang_heishantiejia.img	T_Icon_Gongfang_heishantiejia_D.img	0	1	0	Bb_Sign_4	Bb_2_3	Bb_Mark2_3	sw284_4	黑山军自己摸索出的铁甲，单薄而脆，但已经给黑山勇士带来很大的安全感。
30006	玄铁甲	T_Icon_Gongfang_xuanguangkai.img	T_Icon_Gongfang_xuanguangkai_D.img	0	2	30005	Bb_Sign_7	Bb_3_3	Bb_Mark3_3	sw284_19	以坩埚炼铁法研制出的特殊合金制作成的铠甲，冰冷嗜血，威武雄壮。
30007	明光铠	T_Icon_Gongfang_mingguangkai.img	T_Icon_Gongfang_mingguangkai_D.img	0	3	0	Bb_Sign_11	Bb_4_4	Bb_Mark4_4	sw284_10	炒钢法秘练而出的钢片编织而成的铠甲，轻便的同时又有不错的防御力，是丹阳兵征战沙场必需物品！
30008	黑光铠	T_Icon_Gongfang_heiguangkai.img	T_Icon_Gongfang_heiguangkai_D.img	0	4	0	Bb_Sign_16	Bb_5_4	Bb_Mark5_4		百炼钢片编织而成，通体黝黑。在阳光下却闪烁着一样的光泽，故名黑光。
30009	虎头刀	T_Icon_Gongfang_hutoudao.img	T_Icon_Gongfang_hutoudao_D.img	0	3	0	Bb_Sign_12	Bb_4_5	Bb_Mark4_5	sw284_11	有虎头装饰的战刀，重达三十六斤，削铁如泥，挥舞起来威风八面，虎虎生风。
